type,client,tx,amount
withdrawal,80,23304,59
deposit,80,23305,96
deposit,84,23306,97
withdrawal,33,23307,18
deposit,53,23308,21
deposit,48,23309,52
withdrawal,80,23310,80
deposit,3,23311,23
withdrawal,69,23312,30
withdrawal,58,23313,26
withdrawal,5,23314,69
withdrawal,33,23315,85
deposit,60,23316,67
withdrawal,35,23317,83
withdrawal,50,23318,72
deposit,39,23319,31
deposit,20,23320,69
withdrawal,64,23321,35
deposit,16,23322,19
deposit,20,23323,63
withdrawal,67,23324,38
withdrawal,20,23325,39
withdrawal,38,23326,8
deposit,24,23327,99
deposit,70,23328,70
deposit,36,23329,63
withdrawal,49,23330,62
withdrawal,31,23331,89
withdrawal,29,23332,86
withdrawal,56,23333,20
deposit,5,23334,31
withdrawal,72,23335,45
deposit,69,23336,12
withdrawal,67,23337,70
deposit,13,23338,5
deposit,72,23339,11
withdrawal,67,23340,90
withdrawal,66,23341,68
withdrawal,59,23342,25
withdrawal,99,23343,33
deposit,74,23344,78
withdrawal,75,23345,50
withdrawal,91,23346,68
deposit,20,23347,40
withdrawal,61,23348,70
deposit,16,23349,9
deposit,97,23350,14
deposit,17,23351,97
withdrawal,8,23352,36
withdrawal,95,23353,73
deposit,68,23354,85
withdrawal,32,23355,21
withdrawal,60,23356,21
withdrawal,41,23357,86
withdrawal,54,23358,63
deposit,94,23359,36
withdrawal,40,23360,24
deposit,32,23361,1
withdrawal,35,23362,100
deposit,92,23363,73
withdrawal,95,23364,18
deposit,94,23365,15
deposit,94,23366,95
deposit,89,23367,34
deposit,77,23368,46
withdrawal,1,23369,87
withdrawal,21,23370,71
deposit,99,23371,84
deposit,99,23372,14
deposit,86,23373,26
deposit,66,23374,9
deposit,39,23375,50
withdrawal,93,23376,84
deposit,25,23377,0
deposit,96,23378,85
deposit,1,23379,3
deposit,12,23380,41
deposit,29,23381,83
withdrawal,37,23382,66
withdrawal,72,23383,4
withdrawal,36,23384,29
withdrawal,74,23385,23
deposit,4,23386,51
withdrawal,42,23387,51
withdrawal,26,23388,90
withdrawal,79,23389,2
deposit,50,23390,63
withdrawal,22,23391,81
withdrawal,81,23392,31
withdrawal,1,23393,94
deposit,64,23394,11
deposit,35,23395,32
deposit,17,23396,28
withdrawal,89,23397,20
withdrawal,73,23398,43
deposit,24,23399,90
deposit,0,23400,10
withdrawal,19,23401,60
deposit,80,23402,66
withdrawal,47,23403,95
deposit,46,23404,86
withdrawal,53,23405,49
deposit,79,23406,39
deposit,58,23407,81
deposit,41,23408,36
deposit,12,23409,44
deposit,46,23410,39
withdrawal,69,23411,89
deposit,24,23412,11
deposit,4,23413,6
deposit,95,23414,84
withdrawal,13,23415,19
withdrawal,59,23416,88
deposit,26,23417,18
withdrawal,42,23418,78
withdrawal,5,23419,66
deposit,13,23420,54
deposit,25,23421,82
deposit,1,23422,0
withdrawal,54,23423,7
withdrawal,87,23424,93
deposit,31,23425,6
deposit,86,23426,67
withdrawal,15,23427,13
withdrawal,7,23428,29
withdrawal,96,23429,40
deposit,34,23430,76
withdrawal,6,23431,64
deposit,91,23432,22
deposit,75,23433,46
withdrawal,77,23434,88
deposit,30,23435,86
withdrawal,8,23436,60
deposit,46,23437,87
withdrawal,69,23438,35
withdrawal,18,23439,87
withdrawal,48,23440,27
withdrawal,40,23441,66
deposit,87,23442,35
deposit,77,23443,81
withdrawal,38,23444,17
deposit,52,23445,47
withdrawal,17,23446,73
withdrawal,19,23447,10
deposit,30,23448,6
withdrawal,69,23449,34
deposit,98,23450,22
withdrawal,67,23451,84
deposit,93,23452,21
withdrawal,3,23453,62
withdrawal,57,23454,66
deposit,71,23455,85
withdrawal,78,23456,95
deposit,12,23457,28
withdrawal,14,23458,28
withdrawal,18,23459,93
withdrawal,84,23460,84
withdrawal,64,23461,74
deposit,33,23462,96
withdrawal,26,23463,51
deposit,85,23464,81
deposit,1,23465,45
withdrawal,97,23466,30
deposit,10,23467,9
deposit,98,23468,86
deposit,11,23469,86
withdrawal,12,23470,15
withdrawal,89,23471,28
withdrawal,91,23472,90
deposit,45,23473,93
deposit,58,23474,59
deposit,36,23475,46
withdrawal,3,23476,63
deposit,18,23477,83
deposit,4,23478,48
withdrawal,16,23479,48
deposit,21,23480,85
withdrawal,15,23481,97
deposit,77,23482,35
withdrawal,7,23483,98
withdrawal,13,23484,29
withdrawal,95,23485,90
deposit,46,23486,52
deposit,92,23487,24
withdrawal,97,23488,75
deposit,46,23489,0
withdrawal,74,23490,32
deposit,80,23491,25
withdrawal,9,23492,86
withdrawal,11,23493,9
withdrawal,36,23494,89
withdrawal,65,23495,52
deposit,32,23496,83
deposit,67,23497,55
withdrawal,10,23498,36
deposit,97,23499,2
withdrawal,88,23500,12
withdrawal,46,23501,3
withdrawal,22,23502,43
withdrawal,9,23503,73
withdrawal,71,23504,9
deposit,68,23505,6
deposit,40,23506,87
withdrawal,85,23507,31
withdrawal,76,23508,93
deposit,2,23509,56
withdrawal,76,23510,11
deposit,84,23511,77
withdrawal,55,23512,19
deposit,86,23513,53
deposit,12,23514,80
deposit,10,23515,88
deposit,18,23516,98
deposit,41,23517,88
withdrawal,29,23518,24
withdrawal,26,23519,68
withdrawal,46,23520,78
withdrawal,72,23521,10
deposit,68,23522,51
deposit,12,23523,4
withdrawal,53,23524,32
deposit,44,23525,31
withdrawal,80,23526,74
withdrawal,53,23527,76
withdrawal,67,23528,27
deposit,92,23529,96
withdrawal,17,23530,47
withdrawal,50,23531,76
deposit,45,23532,14
withdrawal,91,23533,85
deposit,10,23534,21
deposit,44,23535,14
deposit,21,23536,63
withdrawal,65,23537,60
withdrawal,33,23538,41
withdrawal,89,23539,62
withdrawal,77,23540,80
deposit,56,23541,50
withdrawal,55,23542,32
deposit,80,23543,85
withdrawal,85,23544,35
withdrawal,44,23545,31
deposit,97,23546,58
deposit,11,23547,45
withdrawal,40,23548,23
deposit,42,23549,28
deposit,70,23550,16
deposit,75,23551,44
deposit,65,23552,66
withdrawal,64,23553,94
withdrawal,47,23554,46
withdrawal,80,23555,99
withdrawal,23,23556,40
deposit,73,23557,46
deposit,63,23558,24
deposit,28,23559,5
withdrawal,92,23560,91
withdrawal,71,23561,20
withdrawal,92,23562,56
withdrawal,86,23563,89
deposit,69,23564,76
deposit,70,23565,33
withdrawal,38,23566,3
withdrawal,29,23567,88
deposit,89,23568,48
withdrawal,35,23569,18
deposit,10,23570,75
deposit,25,23571,70
deposit,11,23572,59
deposit,21,23573,26
withdrawal,19,23574,16
withdrawal,67,23575,99
withdrawal,89,23576,88
withdrawal,44,23577,31
withdrawal,29,23578,61
withdrawal,6,23579,51
deposit,70,23580,30
deposit,32,23581,87
withdrawal,28,23582,21
deposit,45,23583,45
withdrawal,8,23584,65
withdrawal,93,23585,16
withdrawal,89,23586,58
withdrawal,26,23587,48
withdrawal,59,23588,65
deposit,9,23589,81
withdrawal,100,23590,33
deposit,43,23591,13
withdrawal,30,23592,63
deposit,66,23593,61
withdrawal,59,23594,17
deposit,100,23595,51
withdrawal,85,23596,64
withdrawal,20,23597,25
deposit,89,23598,54
withdrawal,83,23599,27
withdrawal,54,23600,85
withdrawal,78,23601,59
withdrawal,61,23602,27
withdrawal,54,23603,83
withdrawal,57,23604,48
deposit,23,23605,27
withdrawal,72,23606,17
withdrawal,4,23607,26
withdrawal,39,23608,100
deposit,82,23609,18
withdrawal,29,23610,93
deposit,56,23611,55
deposit,93,23612,88
deposit,8,23613,25
withdrawal,0,23614,56
deposit,32,23615,71
withdrawal,75,23616,25
deposit,23,23617,99
withdrawal,9,23618,60
deposit,53,23619,56
withdrawal,97,23620,25
withdrawal,33,23621,18
deposit,17,23622,64
deposit,14,23623,56
deposit,77,23624,62
withdrawal,67,23625,61
deposit,11,23626,12
withdrawal,98,23627,47
withdrawal,14,23628,22
withdrawal,73,23629,46
withdrawal,72,23630,50
withdrawal,33,23631,79
withdrawal,70,23632,45
withdrawal,14,23633,28
withdrawal,7,23634,100
deposit,35,23635,64
deposit,14,23636,80
withdrawal,78,23637,29
deposit,54,23638,99
deposit,53,23639,57
deposit,67,23640,60
deposit,76,23641,65
deposit,37,23642,55
deposit,68,23643,0
deposit,14,23644,7
withdrawal,47,23645,42
withdrawal,12,23646,73
withdrawal,40,23647,48
withdrawal,92,23648,22
withdrawal,60,23649,77
deposit,18,23650,89
deposit,81,23651,76
deposit,77,23652,72
deposit,84,23653,86
deposit,9,23654,97
withdrawal,48,23655,50
deposit,69,23656,17
deposit,54,23657,59
deposit,54,23658,54
withdrawal,60,23659,9
deposit,23,23660,78
withdrawal,68,23661,81
deposit,62,23662,54
deposit,18,23663,17
deposit,87,23664,37
withdrawal,97,23665,83
withdrawal,28,23666,8
deposit,72,23667,51
deposit,3,23668,45
withdrawal,100,23669,43
deposit,3,23670,16
deposit,71,23671,47
deposit,4,23672,90
withdrawal,38,23673,41
deposit,62,23674,36
deposit,91,23675,47
withdrawal,44,23676,68
deposit,78,23677,31
deposit,97,23678,80
deposit,53,23679,94
withdrawal,68,23680,77
deposit,67,23681,4
withdrawal,30,23682,74
deposit,29,23683,57
withdrawal,32,23684,12
deposit,76,23685,33
deposit,7,23686,43
withdrawal,65,23687,11
deposit,66,23688,88
withdrawal,22,23689,94
deposit,59,23690,92
withdrawal,76,23691,79
deposit,50,23692,94
deposit,59,23693,95
withdrawal,65,23694,78
deposit,55,23695,11
deposit,79,23696,36
withdrawal,67,23697,11
deposit,99,23698,23
deposit,29,23699,67
deposit,70,23700,16
withdrawal,3,23701,30
deposit,13,23702,94
withdrawal,68,23703,41
withdrawal,16,23704,81
withdrawal,76,23705,37
deposit,71,23706,17
deposit,21,23707,39
deposit,97,23708,94
withdrawal,72,23709,48
withdrawal,33,23710,81
deposit,68,23711,93
deposit,41,23712,21
withdrawal,73,23713,38
deposit,99,23714,88
deposit,17,23715,45
deposit,29,23716,64
withdrawal,47,23717,72
withdrawal,18,23718,19
withdrawal,75,23719,90
deposit,41,23720,64
deposit,99,23721,90
deposit,89,23722,88
withdrawal,71,23723,26
withdrawal,74,23724,48
withdrawal,69,23725,20
deposit,59,23726,97
withdrawal,3,23727,83
deposit,87,23728,46
deposit,22,23729,62
deposit,100,23730,1
withdrawal,84,23731,77
deposit,57,23732,70
withdrawal,76,23733,60
withdrawal,74,23734,48
deposit,9,23735,13
withdrawal,42,23736,40
deposit,40,23737,65
withdrawal,52,23738,65
deposit,16,23739,39
deposit,37,23740,41
withdrawal,56,23741,29
withdrawal,43,23742,78
deposit,8,23743,65
deposit,75,23744,83
deposit,97,23745,38
deposit,13,23746,66
withdrawal,57,23747,44
withdrawal,6,23748,3
withdrawal,53,23749,25
deposit,55,23750,30
deposit,11,23751,97
deposit,70,23752,63
withdrawal,68,23753,69
deposit,90,23754,82
deposit,93,23755,73
withdrawal,14,23756,67
deposit,61,23757,11
deposit,41,23758,6
deposit,21,23759,90
deposit,40,23760,67
withdrawal,35,23761,70
withdrawal,54,23762,58
deposit,90,23763,2
deposit,81,23764,6
deposit,64,23765,81
withdrawal,79,23766,65
deposit,19,23767,23
withdrawal,47,23768,43
withdrawal,58,23769,43
deposit,5,23770,43
deposit,36,23771,94
withdrawal,43,23772,9
deposit,2,23773,78
withdrawal,80,23774,65
deposit,0,23775,88
deposit,9,23776,54
deposit,8,23777,66
deposit,40,23778,72
withdrawal,67,23779,47
withdrawal,76,23780,34
withdrawal,81,23781,80
deposit,94,23782,56
withdrawal,82,23783,95
withdrawal,85,23784,92
withdrawal,18,23785,40
withdrawal,26,23786,52
withdrawal,69,23787,90
withdrawal,53,23788,77
deposit,88,23789,14
deposit,84,23790,42
withdrawal,72,23791,87
deposit,52,23792,47
withdrawal,96,23793,93
withdrawal,14,23794,36
withdrawal,0,23795,99
deposit,55,23796,22
deposit,75,23797,48
withdrawal,6,23798,78
deposit,64,23799,48
withdrawal,76,23800,3
withdrawal,52,23801,35
withdrawal,14,23802,20
withdrawal,47,23803,12
deposit,14,23804,47
withdrawal,6,23805,87
deposit,2,23806,65
withdrawal,68,23807,91
withdrawal,43,23808,22
deposit,34,23809,46
withdrawal,64,23810,52
withdrawal,67,23811,35
deposit,93,23812,13
deposit,59,23813,26
deposit,70,23814,83
withdrawal,91,23815,46
deposit,9,23816,20
deposit,41,23817,90
deposit,55,23818,12
withdrawal,57,23819,31
withdrawal,98,23820,94
withdrawal,95,23821,51
withdrawal,6,23822,78
deposit,16,23823,100
withdrawal,74,23824,92
deposit,100,23825,71
withdrawal,23,23826,32
withdrawal,39,23827,24
deposit,24,23828,73
deposit,82,23829,77
deposit,97,23830,28
deposit,95,23831,26
deposit,76,23832,44
withdrawal,45,23833,47
withdrawal,78,23834,76
withdrawal,72,23835,96
deposit,67,23836,14
withdrawal,48,23837,3
withdrawal,27,23838,42
withdrawal,72,23839,53
deposit,84,23840,34
withdrawal,27,23841,10
withdrawal,37,23842,87
withdrawal,18,23843,40
withdrawal,54,23844,20
withdrawal,6,23845,53
deposit,54,23846,22
withdrawal,2,23847,0
deposit,13,23848,74
deposit,85,23849,30
deposit,86,23850,44
withdrawal,81,23851,13
deposit,50,23852,22
withdrawal,22,23853,45
deposit,58,23854,26
withdrawal,77,23855,56
withdrawal,81,23856,5
deposit,88,23857,56
deposit,4,23858,26
deposit,32,23859,7
deposit,19,23860,22
withdrawal,66,23861,30
deposit,14,23862,82
deposit,23,23863,58
withdrawal,59,23864,20
withdrawal,54,23865,60
deposit,41,23866,14
withdrawal,44,23867,21
withdrawal,26,23868,33
withdrawal,33,23869,78
withdrawal,5,23870,95
deposit,59,23871,75
withdrawal,67,23872,4
deposit,4,23873,62
deposit,95,23874,7
withdrawal,93,23875,58
withdrawal,10,23876,70
withdrawal,18,23877,45
deposit,53,23878,60
withdrawal,71,23879,24
deposit,96,23880,87
deposit,81,23881,4
withdrawal,39,23882,65
withdrawal,39,23883,63
withdrawal,21,23884,6
deposit,76,23885,38
deposit,93,23886,8
deposit,98,23887,88
deposit,92,23888,91
deposit,35,23889,40
deposit,10,23890,92
withdrawal,7,23891,76
deposit,43,23892,85
withdrawal,55,23893,46
withdrawal,60,23894,69
withdrawal,96,23895,21
withdrawal,87,23896,97
deposit,83,23897,45
deposit,90,23898,73
withdrawal,59,23899,6
withdrawal,97,23900,94
deposit,17,23901,67
deposit,42,23902,59
deposit,77,23903,69
deposit,29,23904,94
deposit,96,23905,40
deposit,35,23906,99
deposit,28,23907,42
deposit,35,23908,32
withdrawal,6,23909,36
withdrawal,48,23910,92
withdrawal,56,23911,27
withdrawal,96,23912,0
deposit,67,23913,50
withdrawal,42,23914,57
withdrawal,13,23915,88
deposit,59,23916,36
withdrawal,90,23917,19
deposit,27,23918,64
deposit,100,23919,24
withdrawal,46,23920,63
deposit,5,23921,96
deposit,63,23922,93
deposit,73,23923,5
withdrawal,29,23924,8
deposit,77,23925,41
deposit,63,23926,74
deposit,86,23927,49
withdrawal,79,23928,98
withdrawal,45,23929,63
withdrawal,16,23930,33
deposit,80,23931,88
withdrawal,81,23932,29
withdrawal,19,23933,3
deposit,39,23934,16
deposit,14,23935,59
withdrawal,75,23936,6
withdrawal,27,23937,69
deposit,87,23938,48
deposit,12,23939,68
deposit,11,23940,28
withdrawal,2,23941,98
deposit,1,23942,69
deposit,49,23943,25
withdrawal,34,23944,30
deposit,31,23945,89
withdrawal,97,23946,34
withdrawal,96,23947,81
deposit,80,23948,63
deposit,22,23949,81
deposit,54,23950,2
withdrawal,35,23951,24
deposit,32,23952,2
withdrawal,43,23953,81
withdrawal,64,23954,24
withdrawal,40,23955,83
withdrawal,51,23956,21
withdrawal,23,23957,19
withdrawal,6,23958,66
deposit,25,23959,98
deposit,97,23960,81
deposit,58,23961,90
withdrawal,95,23962,28
withdrawal,61,23963,36
deposit,45,23964,25
withdrawal,64,23965,89
withdrawal,17,23966,25
withdrawal,90,23967,37
deposit,29,23968,15
deposit,99,23969,37
withdrawal,7,23970,57
deposit,84,23971,58
deposit,10,23972,75
withdrawal,29,23973,50
deposit,96,23974,1
deposit,19,23975,89
withdrawal,6,23976,89
withdrawal,99,23977,7
withdrawal,60,23978,8
withdrawal,69,23979,5
withdrawal,13,23980,60
withdrawal,27,23981,100
withdrawal,1,23982,50
withdrawal,77,23983,17
withdrawal,92,23984,66
deposit,19,23985,56
withdrawal,100,23986,15
withdrawal,71,23987,96
deposit,17,23988,85
deposit,76,23989,90
deposit,34,23990,52
deposit,53,23991,56
deposit,76,23992,94
deposit,27,23993,61
withdrawal,20,23994,93
withdrawal,66,23995,65
deposit,91,23996,24
deposit,1,23997,5
deposit,70,23998,21
deposit,1,23999,64
withdrawal,11,24000,91
withdrawal,92,24001,56
deposit,5,24002,16
deposit,0,24003,6
withdrawal,83,24004,0
deposit,34,24005,27
withdrawal,51,24006,94
deposit,48,24007,9
deposit,8,24008,56
withdrawal,93,24009,83
withdrawal,99,24010,75
withdrawal,65,24011,47
deposit,1,24012,18
deposit,11,24013,6
withdrawal,99,24014,74
withdrawal,90,24015,25
withdrawal,33,24016,29
withdrawal,18,24017,99
withdrawal,22,24018,71
withdrawal,1,24019,87
deposit,60,24020,13
withdrawal,55,24021,39
withdrawal,94,24022,39
deposit,77,24023,73
deposit,26,24024,29
withdrawal,65,24025,25
withdrawal,23,24026,50
deposit,1,24027,25
deposit,62,24028,39
deposit,69,24029,84
deposit,40,24030,71
deposit,60,24031,96
withdrawal,82,24032,47
deposit,45,24033,83
withdrawal,87,24034,23
deposit,8,24035,3
withdrawal,25,24036,37
deposit,85,24037,85
deposit,37,24038,71
deposit,72,24039,20
withdrawal,25,24040,84
deposit,66,24041,82
deposit,7,24042,88
deposit,37,24043,26
withdrawal,74,24044,95
deposit,91,24045,39
deposit,17,24046,30
deposit,29,24047,77
withdrawal,78,24048,83
withdrawal,67,24049,90
deposit,38,24050,68
withdrawal,67,24051,82
withdrawal,66,24052,54
withdrawal,91,24053,8
withdrawal,71,24054,38
withdrawal,50,24055,76
deposit,9,24056,60
withdrawal,1,24057,60
deposit,64,24058,2
deposit,12,24059,36
withdrawal,43,24060,66
withdrawal,89,24061,52
deposit,9,24062,73
deposit,31,24063,28
deposit,96,24064,51
withdrawal,12,24065,51
deposit,89,24066,16
withdrawal,66,24067,1
deposit,62,24068,70
withdrawal,20,24069,7
withdrawal,54,24070,24
deposit,9,24071,27
deposit,34,24072,64
deposit,16,24073,87
deposit,14,24074,100
deposit,86,24075,56
withdrawal,99,24076,88
withdrawal,96,24077,75
deposit,56,24078,15
withdrawal,79,24079,5
withdrawal,62,24080,78
withdrawal,91,24081,93
deposit,92,24082,22
deposit,33,24083,81
withdrawal,3,24084,67
withdrawal,61,24085,92
deposit,81,24086,6
withdrawal,36,24087,67
withdrawal,20,24088,98
withdrawal,92,24089,52
deposit,40,24090,75
deposit,50,24091,64
deposit,72,24092,45
deposit,50,24093,6
deposit,14,24094,14
withdrawal,64,24095,24
withdrawal,93,24096,26
deposit,33,24097,93
withdrawal,82,24098,5
withdrawal,63,24099,23
withdrawal,71,24100,48
withdrawal,16,24101,86
withdrawal,22,24102,94
withdrawal,85,24103,66
withdrawal,5,24104,42
withdrawal,91,24105,40
withdrawal,72,24106,94
withdrawal,55,24107,13
withdrawal,12,24108,75
withdrawal,73,24109,38
withdrawal,85,24110,58
withdrawal,24,24111,19
deposit,84,24112,31
deposit,27,24113,72
withdrawal,0,24114,31
withdrawal,6,24115,30
withdrawal,59,24116,60
deposit,0,24117,0
deposit,65,24118,89
withdrawal,52,24119,50
withdrawal,46,24120,72
withdrawal,16,24121,26
deposit,98,24122,58
deposit,0,24123,60
withdrawal,79,24124,14
deposit,64,24125,81
withdrawal,61,24126,65
withdrawal,44,24127,55
deposit,66,24128,1
withdrawal,51,24129,79
withdrawal,20,24130,26
withdrawal,34,24131,1
withdrawal,18,24132,78
deposit,5,24133,70
deposit,14,24134,20
withdrawal,19,24135,34
deposit,75,24136,56
deposit,38,24137,77
deposit,68,24138,19
deposit,40,24139,34
withdrawal,86,24140,93
deposit,13,24141,25
deposit,61,24142,68
withdrawal,60,24143,56
withdrawal,15,24144,13
withdrawal,23,24145,55
withdrawal,84,24146,80
deposit,83,24147,100
deposit,59,24148,23
deposit,81,24149,20
withdrawal,85,24150,33
deposit,73,24151,92
withdrawal,89,24152,45
withdrawal,88,24153,96
deposit,22,24154,6
withdrawal,3,24155,89
withdrawal,35,24156,29
withdrawal,16,24157,33
withdrawal,79,24158,36
withdrawal,26,24159,11
deposit,18,24160,29
withdrawal,19,24161,15
deposit,75,24162,57
withdrawal,43,24163,94
withdrawal,20,24164,54
withdrawal,21,24165,68
withdrawal,36,24166,15
deposit,13,24167,39
withdrawal,47,24168,71
deposit,35,24169,64
withdrawal,68,24170,30
withdrawal,65,24171,29
withdrawal,20,24172,18
withdrawal,46,24173,26
withdrawal,37,24174,24
deposit,82,24175,35
deposit,98,24176,28
deposit,11,24177,82
deposit,13,24178,47
deposit,36,24179,15
withdrawal,34,24180,71
deposit,14,24181,24
withdrawal,72,24182,2
deposit,64,24183,24
withdrawal,19,24184,54
withdrawal,84,24185,92
deposit,76,24186,58
deposit,23,24187,25
deposit,72,24188,11
withdrawal,92,24189,48
withdrawal,55,24190,87
deposit,1,24191,93
withdrawal,31,24192,35
deposit,61,24193,85
deposit,26,24194,60
withdrawal,56,24195,6
withdrawal,11,24196,18
deposit,67,24197,44
withdrawal,28,24198,29
deposit,45,24199,50
withdrawal,100,24200,52
withdrawal,16,24201,59
withdrawal,22,24202,95
deposit,67,24203,3
deposit,59,24204,37
deposit,17,24205,36
deposit,86,24206,51
deposit,93,24207,24
withdrawal,29,24208,3
deposit,45,24209,18
withdrawal,31,24210,88
deposit,18,24211,100
deposit,21,24212,82
deposit,54,24213,46
deposit,90,24214,95
deposit,7,24215,89
deposit,9,24216,83
deposit,74,24217,45
deposit,20,24218,91
withdrawal,82,24219,39
withdrawal,63,24220,53
withdrawal,90,24221,50
withdrawal,43,24222,41
withdrawal,45,24223,100
deposit,1,24224,44
withdrawal,3,24225,47
withdrawal,100,24226,28
deposit,89,24227,87
withdrawal,56,24228,40
deposit,56,24229,60
deposit,70,24230,6
withdrawal,14,24231,77
deposit,0,24232,68
deposit,84,24233,35
withdrawal,79,24234,91
withdrawal,2,24235,45
withdrawal,7,24236,23
withdrawal,30,24237,7
deposit,53,24238,77
withdrawal,90,24239,17
withdrawal,4,24240,68
withdrawal,25,24241,0
withdrawal,57,24242,89
deposit,71,24243,1
deposit,43,24244,94
withdrawal,88,24245,42
deposit,59,24246,19
deposit,44,24247,60
withdrawal,6,24248,84
deposit,44,24249,48
withdrawal,27,24250,98
withdrawal,93,24251,15
deposit,15,24252,56
deposit,2,24253,16
deposit,70,24254,87
deposit,70,24255,76
withdrawal,77,24256,6
withdrawal,97,24257,92
deposit,56,24258,56
withdrawal,61,24259,58
withdrawal,46,24260,23
withdrawal,80,24261,36
withdrawal,33,24262,16
deposit,51,24263,54
withdrawal,86,24264,0
deposit,46,24265,34
deposit,100,24266,63
deposit,33,24267,13
withdrawal,63,24268,64
deposit,20,24269,21
withdrawal,19,24270,42
deposit,76,24271,96
deposit,96,24272,32
withdrawal,18,24273,15
deposit,62,24274,13
deposit,27,24275,27
deposit,57,24276,48
withdrawal,91,24277,24
deposit,29,24278,75
withdrawal,81,24279,5
withdrawal,85,24280,64
withdrawal,30,24281,49
deposit,85,24282,91
withdrawal,18,24283,89
deposit,37,24284,36
withdrawal,76,24285,42
withdrawal,73,24286,73
deposit,21,24287,36
deposit,52,24288,95
deposit,0,24289,92
deposit,75,24290,8
deposit,21,24291,23
deposit,14,24292,15
withdrawal,68,24293,74
withdrawal,20,24294,38
withdrawal,20,24295,72
withdrawal,87,24296,52
withdrawal,80,24297,22
deposit,19,24298,40
deposit,43,24299,36
deposit,40,24300,12
deposit,13,24301,38
deposit,31,24302,44
deposit,87,24303,7
deposit,76,24304,85
withdrawal,91,24305,100
withdrawal,42,24306,8
deposit,88,24307,90
withdrawal,41,24308,36
deposit,57,24309,47
withdrawal,80,24310,71
withdrawal,9,24311,48
withdrawal,37,24312,67
withdrawal,65,24313,86
deposit,36,24314,52
withdrawal,46,24315,86
deposit,51,24316,51
withdrawal,24,24317,15
withdrawal,24,24318,55
withdrawal,59,24319,91
deposit,88,24320,61
withdrawal,45,24321,92
deposit,38,24322,33
deposit,8,24323,12
withdrawal,70,24324,63
deposit,45,24325,40
deposit,65,24326,99
withdrawal,7,24327,74
deposit,32,24328,4
withdrawal,49,24329,81
withdrawal,7,24330,63
deposit,89,24331,38
withdrawal,78,24332,79
withdrawal,79,24333,29
withdrawal,6,24334,19
deposit,42,24335,79
withdrawal,53,24336,70
withdrawal,89,24337,15
withdrawal,30,24338,85
withdrawal,28,24339,75
deposit,77,24340,8
withdrawal,57,24341,34
withdrawal,2,24342,69
withdrawal,47,24343,88
deposit,22,24344,44
deposit,32,24345,46
deposit,76,24346,0
deposit,82,24347,66
deposit,19,24348,29
withdrawal,51,24349,32
deposit,52,24350,29
withdrawal,69,24351,23
withdrawal,12,24352,85
deposit,53,24353,95
deposit,35,24354,94
deposit,36,24355,67
withdrawal,27,24356,55
withdrawal,81,24357,71
deposit,11,24358,92
withdrawal,8,24359,67
deposit,23,24360,31
withdrawal,14,24361,73
deposit,75,24362,93
withdrawal,90,24363,25
deposit,98,24364,14
deposit,36,24365,30
deposit,4,24366,70
deposit,34,24367,60
withdrawal,77,24368,88
withdrawal,41,24369,2
deposit,6,24370,64
withdrawal,92,24371,24
withdrawal,11,24372,90
deposit,81,24373,87
withdrawal,20,24374,8
deposit,59,24375,15
withdrawal,33,24376,42
withdrawal,75,24377,38
withdrawal,4,24378,86
deposit,78,24379,18
withdrawal,28,24380,25
deposit,66,24381,71
withdrawal,49,24382,75
withdrawal,39,24383,68
withdrawal,71,24384,77
withdrawal,29,24385,55
withdrawal,58,24386,74
deposit,45,24387,12
withdrawal,72,24388,56
deposit,45,24389,4
withdrawal,92,24390,100
withdrawal,25,24391,23
deposit,38,24392,44
withdrawal,12,24393,61
withdrawal,12,24394,37
withdrawal,15,24395,35
withdrawal,8,24396,28
deposit,64,24397,22
withdrawal,30,24398,25
withdrawal,90,24399,48
deposit,42,24400,18
deposit,76,24401,5
deposit,51,24402,50
withdrawal,52,24403,83
deposit,26,24404,90
deposit,24,24405,77
deposit,2,24406,32
withdrawal,68,24407,19
deposit,66,24408,91
withdrawal,13,24409,83
deposit,26,24410,52
deposit,26,24411,68
deposit,69,24412,33
deposit,93,24413,20
withdrawal,37,24414,86
withdrawal,80,24415,66
deposit,30,24416,8
withdrawal,60,24417,54
deposit,54,24418,50
deposit,98,24419,20
deposit,12,24420,31
deposit,74,24421,85
deposit,25,24422,68
deposit,39,24423,11
withdrawal,66,24424,60
withdrawal,34,24425,62
withdrawal,82,24426,23
withdrawal,52,24427,51
withdrawal,50,24428,9
deposit,26,24429,37
withdrawal,2,24430,70
deposit,56,24431,41
withdrawal,97,24432,74
withdrawal,22,24433,91
deposit,34,24434,62
deposit,66,24435,80
withdrawal,37,24436,71
withdrawal,95,24437,5
withdrawal,76,24438,77
withdrawal,28,24439,60
withdrawal,78,24440,23
deposit,19,24441,100
withdrawal,29,24442,79
deposit,83,24443,9
deposit,36,24444,18
deposit,30,24445,84
withdrawal,85,24446,17
deposit,23,24447,60
withdrawal,32,24448,31
deposit,67,24449,91
withdrawal,19,24450,66
deposit,70,24451,43
deposit,39,24452,15
withdrawal,46,24453,7
deposit,100,24454,43
withdrawal,43,24455,68
withdrawal,33,24456,41
withdrawal,97,24457,28
deposit,87,24458,38
deposit,24,24459,42
withdrawal,35,24460,52
deposit,34,24461,0
deposit,97,24462,13
withdrawal,96,24463,85
deposit,5,24464,60
deposit,83,24465,84
withdrawal,6,24466,51
